start,end,pitch,velocity,duration
4.4841,4.6705,76,36,0.1864
4.4841,4.6591,84,35,0.1750
6.7841,6.9341,76,27,0.1500
10.5841,10.8045,81,32,0.2205
11.8364,12.0364,81,45,0.2000
11.8364,12.0000,84,35,0.1636
12.0818,12.3023,76,37,0.2205
13.6023,13.8114,75,32,0.2091
13.6023,13.8114,67,53,0.2091
16.7864,16.9386,66,32,0.1523
16.9386,17.1477,67,34,0.2091
18.3318,18.4705,67,36,0.1386
19.4705,19.5750,67,33,0.1045
19.6909,19.8523,67,40,0.1614
19.6909,19.8295,67,32,0.1386
20.5614,20.8523,72,55,0.2909
20.5614,20.9227,72,38,0.3614
20.5864,21.1091,72,61,0.5227
21.2250,21.3409,70,39,0.1159
21.9341,22.3523,72,37,0.4182
21.9455,22.3295,72,46,0.3841
21.9455,22.4795,76,52,0.5341
23.2455,23.3977,76,34,0.1523
23.3045,23.4659,76,41,0.1614
23.7795,24.2000,79,34,0.4205
24.0591,24.2341,76,41,0.1750
24.0705,24.2682,79,52,0.1977
24.3386,24.8614,70,63,0.5227
24.9409,25.2318,72,35,0.2909
24.9659,25.4295,72,64,0.4636
25.6273,25.9659,70,37,0.3386
26.1159,26.2909,72,39,0.1750
26.1273,26.3591,67,44,0.2318
26.7205,26.9045,75,37,0.1841
27.5318,27.7295,75,33,0.1977
27.8114,27.9636,75,41,0.1523
28.4045,28.5432,77,32,0.1386
28.4159,28.9159,75,39,0.5000
28.9841,29.1250,75,25,0.1409
29.6114,29.9614,75,36,0.3500
30.1932,30.7045,76,35,0.5114
32.9455,33.1432,76,31,0.1977
33.9000,34.0045,79,35,0.1045
34.9091,35.2818,79,36,0.3727
36.2227,36.7455,75,42,0.5227
37.4773,37.7205,60,40,0.2432
38.0114,38.5227,60,35,0.5114
39.8955,40.2432,60,35,0.3477
41.3114,41.5205,67,31,0.2091
41.4727,42.0659,79,37,0.5932
41.6136,42.1818,79,45,0.5682
42.2864,42.6477,75,43,0.3614
42.9500,43.3091,75,43,0.3591
43.5750,43.8432,75,43,0.2682
43.7045,43.8091,67,38,0.1045
43.9136,44.3909,67,35,0.4773
45.0523,45.6205,77,41,0.5682
45.0636,45.5750,79,49,0.5114
46.0409,46.6795,79,37,0.6386
47.0727,48.1773,79,55,1.1045
47.8523,48.1432,79,35,0.2909
48.2114,48.3409,65,43,0.1295
48.4318,49.3614,67,40,0.9295
48.5023,49.4091,67,37,0.9068
48.9205,49.0136,79,30,0.0932
49.6636,49.8864,75,39,0.2227
50.3727,50.5364,75,39,0.1636
50.6636,51.1045,75,53,0.4409
51.4068,51.6159,75,35,0.2091
52.3591,52.6500,67,47,0.2909
53.2545,53.3932,65,34,0.1386
55.2295,55.7977,67,49,0.5682
55.2295,55.9955,67,49,0.7659
56.0318,56.1227,67,33,0.0909
56.3205,56.6932,77,42,0.3727
56.4727,56.7045,65,52,0.2318
56.8773,57.2159,75,36,0.3386
57.5523,57.6568,65,32,0.1045
59.1659,59.7955,75,51,0.6295
60.5955,61.0841,75,53,0.4886
60.5955,60.7705,77,29,0.1750
65.7773,65.8818,75,37,0.1045
67.8000,68.0205,77,32,0.2205
69.3091,70.2614,79,53,0.9523
69.6000,69.9023,79,38,0.3023
69.7386,69.8432,75,38,0.1045
70.9705,71.0864,77,32,0.1159
71.2364,71.3409,77,35,0.1045
71.9705,72.0977,72,28,0.1273
72.2841,72.4568,77,30,0.1727
72.3295,72.4568,77,34,0.1273
72.5977,74.0273,79,54,1.4295
72.6091,72.7955,79,35,0.1864
72.7364,72.8636,79,40,0.1273
72.9682,73.2000,72,43,0.2318
73.0727,73.7364,84,51,0.6636
73.0841,73.1773,72,31,0.0932
73.3273,73.5159,67,41,0.1886
73.3523,73.6659,67,46,0.3136
74.2705,74.3636,67,35,0.0932
74.7568,74.9432,67,36,0.1864
75.4773,75.5955,72,35,0.1182
75.7227,76.3727,72,70,0.6500
75.8500,75.9545,79,42,0.1045
76.4318,77.0705,72,51,0.6386
76.4318,77.0705,72,37,0.6386
77.1750,77.2659,70,39,0.0909
77.3955,77.6273,70,41,0.2318
77.8364,78.6386,72,71,0.8023
78.6614,79.2886,70,70,0.6273
79.2409,79.3705,72,40,0.1295
79.6273,80.2409,70,51,0.6136
79.8227,80.3341,76,40,0.5114
80.6250,80.7977,76,36,0.1727
82.7386,82.8318,76,33,0.0932
83.0977,83.2273,79,32,0.1295
83.3659,83.7727,79,42,0.4068
83.8205,84.2955,77,37,0.4750
83.8205,83.9136,67,33,0.0932
84.3886,84.7727,67,39,0.3841
85.7136,85.8523,63,34,0.1386
86.2705,86.4341,65,30,0.1636
86.5955,87.1295,65,34,0.5341
87.0136,87.1182,65,40,0.1045
88.3273,88.7909,77,39,0.4636
90.8591,90.9864,77,33,0.1273
92.0455,92.2068,82,27,0.1614
