start,end,pitch,velocity,duration
4.4840,4.6349,76,36,0.1509
11.8370,12.0124,76,46,0.1754
13.6030,13.8004,63,32,0.1974
13.6030,13.8004,75,54,0.1974
20.5625,20.8063,65,51,0.2438
20.5625,20.9108,77,38,0.3483
20.6089,21.0849,72,53,0.4760
21.9454,22.2008,67,54,0.2554
21.9454,22.4446,72,53,0.4992
22.1195,22.3053,79,40,0.1858
23.2457,23.3966,76,43,0.1509
24.0713,24.2570,72,53,0.1858
24.3383,24.8491,70,64,0.5108
24.9652,25.4180,72,65,0.4528
25.5225,25.7315,70,37,0.2090
26.1856,26.3365,67,51,0.1509
28.4624,28.8804,65,40,0.4180
30.1936,30.3910,76,40,0.1974
36.2230,36.6990,81,42,0.4760
37.4885,37.6394,60,43,0.1509
41.6707,41.8113,67,34,0.1406
41.7300,41.9390,79,45,0.2090
41.9390,42.1712,79,37,0.2322
42.2873,42.4266,79,42,0.1393
42.4266,42.6472,79,43,0.2206
42.9490,43.0884,75,37,0.1393
43.0884,43.2857,75,44,0.1974
43.5760,43.7979,65,43,0.2219
43.6456,43.7746,77,36,0.1290
45.0633,45.2027,79,49,0.1393
45.2027,45.3884,79,42,0.1858
46.0399,46.2372,79,36,0.1974
46.3766,46.5391,79,43,0.1625
47.0732,47.2125,79,45,0.1393
47.2125,47.3518,79,42,0.1393
47.3518,47.7710,79,46,0.4192
47.7710,47.9916,79,43,0.2206
47.9916,48.1542,79,48,0.1625
48.5721,48.7927,79,38,0.2206
48.7231,48.8972,67,38,0.1741
49.0249,49.2687,67,38,0.2438
49.1410,49.3384,79,39,0.1974
50.3730,50.5123,79,39,0.1393
50.8141,51.0812,75,41,0.2670
51.4062,51.5920,65,36,0.1858
52.4408,52.6150,77,46,0.1741
55.3794,55.5768,67,41,0.1974
55.3794,55.5884,79,37,0.2090
55.5884,55.7290,79,49,0.1406
55.6000,55.7755,67,45,0.1754
55.7290,55.9728,79,49,0.2438
56.3676,56.5649,77,41,0.1974
56.4720,56.6926,65,46,0.2206
56.8784,57.0642,79,35,0.1858
59.4571,59.6674,75,53,0.2103
60.6542,61.0257,65,52,0.3715
69.4597,69.6119,75,40,0.1522
69.6003,69.8673,79,38,0.2670
69.8673,70.0183,75,47,0.1509
70.0415,70.2389,75,39,0.1974
72.5970,72.8059,79,45,0.2090
72.8408,73.0265,79,36,0.1858
72.9685,73.1659,72,34,0.1974
72.9685,73.1775,84,38,0.2090
73.0265,73.3052,79,38,0.2786
73.3052,73.9914,79,44,0.6863
73.3284,73.5271,72,54,0.1987
73.3516,73.4909,67,48,0.1393
75.7923,75.9316,84,38,0.1393
75.8619,76.1290,72,54,0.2670
76.1290,76.3031,72,42,0.1741
76.3031,76.5818,72,43,0.2786
76.5818,76.8023,72,46,0.2206
76.8023,76.9649,72,58,0.1625
76.8836,77.0462,84,36,0.1625
77.3945,77.6163,70,41,0.2219
77.8369,78.0923,72,42,0.2554
78.0923,78.2317,72,71,0.1393
78.2317,78.4639,72,67,0.2322
78.4639,78.6264,72,54,0.1625
78.8005,79.0792,70,67,0.2786
79.0792,79.2766,70,68,0.1974
79.6958,79.9048,79,45,0.2090
79.9048,80.0441,79,49,0.1393
79.9744,80.3111,67,38,0.3367
80.0441,80.2066,79,54,0.1625
83.4948,83.7270,79,39,0.2322
83.8199,84.1914,65,37,0.3715
84.5281,84.6790,67,45,0.1509
88.3852,88.6638,60,43,0.2786
