start,end,pitch,velocity,duration
4.4840,4.6698,76,34,0.1858
4.4840,4.6698,84,34,0.1858
10.5831,10.8037,81,33,0.2206
11.8370,12.0008,84,35,0.1638
11.8370,12.0356,76,44,0.1987
12.0821,12.3027,81,37,0.2206
13.6030,13.7307,75,54,0.1277
13.6030,13.8120,63,31,0.2090
13.7307,13.8236,75,48,0.0929
15.5083,15.6128,88,35,0.1045
16.7867,16.9376,66,32,0.1509
16.9376,17.1698,67,35,0.2322
18.0999,18.2160,67,30,0.1161
18.3553,18.4714,67,36,0.1161
19.4699,19.5860,67,35,0.1161
19.6905,19.8182,79,31,0.1277
19.6905,19.8530,63,40,0.1625
20.5625,20.8644,65,48,0.3019
20.5625,20.9224,77,38,0.3599
20.5857,20.6902,72,61,0.1045
20.6902,21.1082,72,51,0.4180
21.2243,21.3404,70,40,0.1161
21.9338,22.1311,79,35,0.1974
21.9454,22.3285,67,47,0.3831
21.9454,22.5026,72,52,0.5573
22.1311,22.3401,79,39,0.2090
23.2457,23.3850,84,33,0.1393
23.3037,23.4663,76,41,0.1625
23.7797,23.9900,79,34,0.2103
24.0597,24.1990,79,33,0.1393
24.0597,24.2338,84,40,0.1741
24.0713,24.2686,72,51,0.1974
24.3383,24.4544,70,72,0.1161
24.4544,24.8608,70,60,0.4063
24.9420,25.2207,84,34,0.2786
25.0117,25.4413,72,60,0.4296
25.6270,25.9766,70,39,0.3496
26.1159,26.2901,79,39,0.1741
26.1275,26.3597,67,44,0.2322
26.7196,26.9054,81,36,0.1858
27.2537,27.3930,81,31,0.1393
27.5323,27.7297,65,32,0.1974
27.8123,27.9632,75,39,0.1509
28.4044,28.5437,77,32,0.1393
28.4160,28.9152,65,38,0.4992
29.6118,29.9614,60,36,0.3496
30.1936,30.4258,76,38,0.2322
30.5535,30.6696,76,32,0.1161
32.9348,33.1322,82,32,0.1974
34.9098,35.0840,79,36,0.1741
35.0027,35.1188,88,32,0.1161
35.1536,35.2929,79,32,0.1393
36.2230,36.8267,81,41,0.6037
37.4421,37.7323,60,39,0.2902
38.0122,38.5347,60,33,0.5224
38.6043,38.6972,88,29,0.0929
39.9060,40.2310,60,35,0.3251
41.1482,41.3108,79,30,0.1625
41.3108,41.5197,79,31,0.2090
41.4733,41.7300,67,30,0.2567
41.6126,41.7300,79,35,0.1174
41.7300,41.8461,67,36,0.1161
41.7300,41.9390,79,44,0.2090
41.8693,42.0086,67,35,0.1393
41.9390,42.0899,79,32,0.1509
42.0086,42.1015,67,34,0.0929
42.0899,42.1828,79,42,0.0929
42.2873,42.4266,79,39,0.1393
42.4266,42.6472,79,44,0.2206
43.0187,43.1580,75,47,0.1393
43.1580,43.3090,75,36,0.1509
43.5760,43.7050,65,38,0.1290
43.7050,43.8095,77,37,0.1045
43.7050,43.8559,65,42,0.1509
44.1229,44.3900,67,39,0.2670
45.0517,45.2027,67,32,0.1509
45.0633,45.2027,79,50,0.1393
45.2027,45.2955,67,41,0.0929
45.2027,45.4116,79,43,0.2090
45.3304,45.4581,67,32,0.1277
45.4813,45.5742,79,35,0.0929
45.4813,45.6206,67,33,0.1393
46.0399,46.1792,79,37,0.1393
46.1792,46.2721,79,39,0.0929
46.3301,46.4694,79,36,0.1393
46.4694,46.6784,79,38,0.2090
47.0732,47.2125,79,47,0.1393
47.2125,47.3518,79,44,0.1393
47.3518,47.4911,79,47,0.1393
47.4911,47.6420,79,48,0.1509
47.6420,47.7710,79,44,0.1290
47.7710,47.9220,79,40,0.1509
47.8523,47.9916,67,35,0.1393
47.9220,48.0613,79,56,0.1393
47.9916,48.1426,67,35,0.1509
48.0613,48.1774,79,39,0.1161
48.2122,48.3399,65,42,0.1277
48.3631,48.5025,67,26,0.1393
48.4328,48.5721,79,34,0.1393
48.5025,48.6534,67,32,0.1509
48.5721,48.7231,79,33,0.1509
48.6534,48.7927,67,34,0.1393
48.7231,48.9320,79,40,0.2090
48.7927,49.0830,67,38,0.2902
48.9204,49.0249,66,30,0.1045
48.9320,49.0714,79,33,0.1393
49.0830,49.2107,79,35,0.1277
49.0830,49.2339,67,38,0.1509
49.2339,49.3500,79,41,0.1161
49.2339,49.4080,67,37,0.1741
49.6635,49.7925,79,31,0.1290
49.7925,49.8853,79,39,0.0929
50.3730,50.5355,79,38,0.1625
50.6632,50.7909,75,31,0.1277
50.8141,50.9651,75,29,0.1509
50.9651,51.0928,75,53,0.1277
51.4062,51.6152,65,35,0.2090
51.9416,52.0577,65,33,0.1161
52.0809,52.2434,65,30,0.1625
52.3595,52.4989,77,37,0.1393
52.4292,52.6266,65,30,0.1974
52.4989,52.6382,77,45,0.1393
53.2535,53.3928,65,35,0.1393
55.2285,55.3794,67,25,0.1509
55.2285,55.4143,79,34,0.1858
55.3794,55.5187,67,36,0.1393
55.4607,55.5884,79,40,0.1277
55.5187,55.6594,67,38,0.1406
55.5884,55.7290,79,48,0.1406
55.6594,55.7987,67,48,0.1393
55.7290,55.8799,79,47,0.1509
55.8799,56.0076,79,46,0.1277
56.0193,56.1121,79,31,0.0929
56.0309,56.1237,67,33,0.0929
56.3211,56.4720,77,37,0.1509
56.4720,56.5881,77,42,0.1161
56.4720,56.5998,65,40,0.1277
56.5998,56.7042,65,51,0.1045
56.8784,57.0177,79,32,0.1393
57.0177,57.2035,79,36,0.1858
57.5518,57.6576,65,33,0.1058
59.1668,59.2946,75,29,0.1277
59.3178,59.4571,75,36,0.1393
59.4571,59.5964,75,50,0.1393
59.5964,59.7951,75,40,0.1987
60.5962,60.9212,65,42,0.3251
60.6194,60.7471,77,29,0.1277
60.9212,61.0954,65,50,0.1741
65.7781,65.8826,75,36,0.1045
66.6256,66.7417,88,42,0.1161
67.7995,68.0201,81,32,0.2206
69.3088,69.4597,75,30,0.1509
69.4597,69.5887,75,40,0.1290
69.5887,69.7745,75,32,0.1858
69.6003,69.9022,79,38,0.3019
69.7396,69.8441,82,38,0.1045
69.7745,69.9486,75,52,0.1741
69.9486,70.1228,75,40,0.1741
70.1228,70.2621,75,40,0.1393
70.9238,71.0283,70,30,0.1045
71.2373,71.3418,70,35,0.1045
71.5289,71.6450,72,35,0.1161
72.2835,72.4576,77,30,0.1741
72.3299,72.4576,72,34,0.1277
72.5970,72.7247,79,42,0.1277
72.6086,72.7943,72,34,0.1858
72.7247,72.9220,79,42,0.1974
72.7363,72.8640,84,40,0.1277
72.9685,73.0846,84,32,0.1161
72.9801,73.1078,79,41,0.1277
73.0730,73.1659,72,42,0.0929
73.0846,73.1775,67,31,0.0929
73.0846,73.2123,84,42,0.1277
73.1078,73.3052,79,35,0.1974
73.1659,73.3284,72,29,0.1625
73.3052,73.4329,79,53,0.1277
73.3284,73.4561,72,50,0.1277
73.3284,73.5154,84,41,0.1870
73.3516,73.5038,67,45,0.1522
73.4329,73.5619,79,45,0.1290
73.4561,73.7360,72,39,0.2799
73.5619,73.7709,79,41,0.2090
73.5735,73.6664,67,34,0.0929
73.7709,74.0263,79,36,0.2554
74.7577,74.9319,55,35,0.1741
75.4891,75.5833,79,35,0.0942
75.7226,75.8619,72,46,0.1393
75.8503,75.9432,84,43,0.0929
75.8619,76.0129,72,69,0.1509
76.0129,76.2102,72,38,0.1974
76.2102,76.3728,72,42,0.1625
76.4308,76.5818,72,48,0.1509
76.4308,76.5818,84,32,0.1509
76.5818,76.6979,72,49,0.1161
76.5818,76.6979,84,37,0.1161
76.6979,76.8836,72,50,0.1858
76.8836,77.0578,84,36,0.1741
76.8836,77.0694,72,44,0.1858
77.1739,77.2667,70,39,0.0929
77.3945,77.5002,70,39,0.1058
77.5002,77.6279,70,39,0.1277
77.5002,77.6628,89,31,0.1625
77.8369,78.0923,72,42,0.2554
78.0923,78.2317,72,69,0.1393
78.2317,78.3826,72,71,0.1509
78.3826,78.5451,72,55,0.1625
78.5451,78.6380,72,51,0.0929
78.6612,78.8005,70,37,0.1393
78.8005,78.9399,70,71,0.1393
78.8005,79.0792,89,37,0.2786
78.9399,79.1605,70,65,0.2206
79.0792,79.2069,89,31,0.1277
79.1605,79.2882,70,66,0.1277
79.2417,79.3694,76,41,0.1277
79.6261,79.7422,79,30,0.1161
79.7422,79.9048,79,48,0.1625
79.8235,79.9744,67,36,0.1509
79.9048,80.0441,79,49,0.1393
79.9744,80.0673,67,35,0.0929
80.0441,80.2531,79,50,0.2090
80.0673,80.3343,67,40,0.2670
80.6246,80.7871,55,35,0.1625
81.5779,81.7288,81,27,0.1509
83.0988,83.2149,79,31,0.1161
83.3658,83.4948,79,30,0.1290
83.3774,83.5413,67,32,0.1638
83.4948,83.6109,79,41,0.1161
83.6458,83.7735,79,35,0.1277
83.8199,84.2959,65,37,0.4760
84.3888,84.7719,67,38,0.3831
85.7252,85.8762,63,34,0.1509
86.2709,86.4450,65,31,0.1741
86.5960,86.7817,65,33,0.1858
86.8630,87.1300,65,35,0.2670
87.0139,87.1068,77,38,0.0929
88.3271,88.7799,60,37,0.4528
90.8826,90.9987,77,32,0.1161
