start,end,pitch,velocity,duration
0.7240,6.7188,70,55,5.9948
0.7227,6.7188,74,56,5.9961
4.4844,7.5000,76,56,3.0156
8.0651,11.8099,74,62,3.7448
11.8242,12.0690,76,63,0.2448
8.0651,12.5000,70,59,4.4349
11.8177,13.3490,74,56,1.5312
12.0742,17.1589,76,60,5.0846
20.5625,21.9089,77,83,1.3464
23.2344,23.4896,76,69,0.2552
23.2357,24.3490,70,64,1.1133
23.7773,25.2799,79,78,1.5026
24.0677,25.2891,84,88,1.2214
23.5013,25.4193,81,65,1.9180
25.4740,25.4792,89,53,0.0052
23.5039,26.5391,77,72,3.0352
23.2357,27.5000,72,58,4.2643
23.5026,27.5000,76,74,3.9974
27.8190,28.4388,75,61,0.6198
28.3724,29.4492,76,54,1.0768
30.1875,30.8594,76,70,0.6719
31.4154,31.4297,70,59,0.0143
38.0065,38.0195,71,42,0.0130
39.1745,39.1888,84,49,0.0143
38.5951,39.7995,74,54,1.2044
38.5951,39.8893,76,54,1.2943
39.8177,40.2188,71,52,0.4010
39.1940,40.5091,72,41,1.3151
41.7279,41.7760,79,61,0.0482
42.8008,42.8359,75,57,0.0352
42.9401,42.9779,75,55,0.0378
43.7760,43.7891,75,65,0.0130
43.9036,43.9089,79,70,0.0052
43.9805,44.0299,79,67,0.0495
44.1133,44.1797,79,62,0.0664
44.1914,44.2396,79,57,0.0482
44.3411,44.3490,75,53,0.0078
44.2474,44.3893,79,58,0.1419
44.3958,44.4336,78,61,0.0378
44.4844,44.5378,77,71,0.0534
44.6042,44.6094,79,50,0.0052
44.6888,44.7500,79,54,0.0612
44.7617,44.8294,79,45,0.0677
44.8438,44.8490,75,48,0.0052
44.9049,44.9193,75,45,0.0143
44.8372,44.9596,79,58,0.1224
44.9648,45.0299,79,62,0.0651
45.0417,45.1094,79,60,0.0677
45.0469,45.1198,75,50,0.0729
45.1237,45.1797,79,64,0.0560
45.2500,45.2995,75,48,0.0495
45.1862,45.3099,79,63,0.1237
45.3997,45.4089,78,57,0.0091
45.3242,45.4596,79,58,0.1354
45.4701,45.5990,79,59,0.1289
45.6133,45.6693,79,59,0.0560
45.7240,45.7799,79,45,0.0560
45.7865,45.8594,79,52,0.0729
45.6602,46.0091,75,58,0.3490
45.8724,46.0195,79,48,0.1471
46.0260,46.0898,79,53,0.0638
46.1016,46.1693,79,40,0.0677
46.1771,46.2500,79,53,0.0729
46.1901,46.2904,75,44,0.1003
46.3242,46.4492,79,55,0.1250
46.4557,46.5195,79,55,0.0638
46.5352,46.5495,75,35,0.0143
46.6745,46.7292,79,55,0.0547
46.8190,46.8294,72,44,0.0104
46.8255,46.8893,76,51,0.0638
46.8229,46.8997,79,56,0.0768
46.9128,46.9792,79,47,0.0664
46.9870,47.0495,79,50,0.0625
47.0599,47.1289,79,55,0.0690
47.1354,47.1992,79,48,0.0638
47.2122,47.2539,79,60,0.0417
47.3477,47.3932,79,58,0.0456
47.4193,47.4297,75,33,0.0104
47.4870,47.5794,79,48,0.0924
47.5924,47.6888,79,36,0.0964
47.6953,47.7591,79,55,0.0638
47.7656,47.8151,79,57,0.0495
47.8385,47.8490,75,43,0.0104
47.9141,47.9792,79,60,0.0651
47.9857,48.0391,79,63,0.0534
48.0534,48.1198,79,66,0.0664
48.1341,48.1706,79,69,0.0365
48.2839,48.2891,76,60,0.0052
48.2135,48.2891,77,71,0.0755
48.3438,48.3490,78,61,0.0052
48.4284,48.4388,79,59,0.0104
48.5729,48.6185,79,67,0.0456
48.7148,48.7799,79,70,0.0651
48.7799,48.7891,78,60,0.0091
48.8516,48.8594,79,57,0.0078
48.9948,49.0091,75,53,0.0143
48.9258,49.0599,79,62,0.1341
49.1393,49.1497,78,69,0.0104
49.1406,49.2695,79,67,0.1289
49.2812,49.4089,79,61,0.1276
49.4232,49.4727,75,57,0.0495
49.4219,49.6393,79,63,0.2174
49.7214,49.7292,75,55,0.0078
49.6510,49.7799,79,71,0.1289
49.7943,49.8529,79,65,0.0586
49.8659,49.9076,78,65,0.0417
49.9414,49.9779,77,60,0.0365
50.0169,50.0469,75,64,0.0299
50.0938,50.2188,79,67,0.1250
50.2266,50.3594,79,69,0.1328
50.3737,50.5091,79,73,0.1354
50.5169,50.5755,79,71,0.0586
50.6237,50.6615,74,65,0.0378
50.6628,50.7292,75,64,0.0664
50.7409,50.8398,75,62,0.0990
50.8932,50.9896,74,63,0.0964
50.9583,51.0026,75,73,0.0443
51.3216,51.3294,76,56,0.0078
51.3242,51.3294,77,62,0.0052
51.3958,51.5091,77,67,0.1133
51.5182,51.6497,77,60,0.1315
51.5990,51.6589,76,60,0.0599
51.6693,51.6888,76,60,0.0195
51.8151,51.8294,77,50,0.0143
51.7409,51.8490,76,64,0.1081
52.0065,52.0599,77,54,0.0534
52.0729,52.2799,77,47,0.2070
52.1445,52.3490,76,56,0.2044
52.2839,52.4193,77,66,0.1354
52.3555,52.4779,76,57,0.1224
52.4310,52.6289,77,68,0.1979
52.5690,52.7578,76,61,0.1888
52.6419,52.7721,77,59,0.1302
52.8477,52.9792,76,66,0.1315
53.1719,53.2878,76,53,0.1159
53.2474,53.3698,77,59,0.1224
53.3919,53.4349,76,58,0.0430
53.5247,53.6094,77,49,0.0846
53.6745,53.6797,76,44,0.0052
53.8164,53.8620,77,57,0.0456
53.8867,53.8997,76,42,0.0130
53.9688,54.0690,76,45,0.1003
54.1940,54.3398,76,49,0.1458
54.3451,54.4792,76,49,0.1341
54.4935,54.6289,76,45,0.1354
54.6432,54.7396,76,50,0.0964
55.1367,55.1914,75,55,0.0547
55.2109,55.2188,79,67,0.0078
55.4453,55.5091,79,61,0.0638
55.5156,55.6497,79,64,0.1341
55.6576,55.7070,78,64,0.0495
55.7318,55.7734,79,68,0.0417
55.8034,55.8789,78,69,0.0755
56.0104,56.0625,78,61,0.0521
56.0898,56.0990,75,47,0.0091
56.2435,56.2839,76,53,0.0404
56.2461,56.3620,77,61,0.1159
56.4648,56.5794,77,68,0.1146
56.5938,56.7096,77,67,0.1159
56.6758,56.7799,76,64,0.1042
56.7174,56.7995,78,67,0.0820
56.7943,56.8424,76,49,0.0482
56.8737,56.9388,78,60,0.0651
56.9453,57.0091,78,66,0.0638
57.0182,57.0690,78,60,0.0508
57.2526,57.2943,76,60,0.0417
57.2552,57.2969,77,66,0.0417
57.3932,57.4375,77,65,0.0443
57.5352,57.5794,76,55,0.0443
57.6081,57.6562,77,66,0.0482
57.6862,57.7396,76,61,0.0534
57.8477,57.8997,75,60,0.0521
57.9857,58.0378,75,60,0.0521
58.1341,58.1393,74,62,0.0052
58.1979,58.2096,75,57,0.0117
58.2878,58.2995,74,55,0.0117
58.4323,58.4818,75,60,0.0495
58.6393,58.6497,75,52,0.0104
58.7240,58.7292,75,48,0.0052
58.8646,58.8698,75,44,0.0052
59.0755,59.1589,75,51,0.0833
59.1549,59.1888,74,44,0.0339
59.2240,59.3190,75,53,0.0951
59.2969,59.3893,74,52,0.0924
59.3659,59.3997,75,53,0.0339
59.4414,59.5299,75,60,0.0885
59.5846,59.6315,75,59,0.0469
60.6029,60.8594,76,51,0.2565
61.1641,61.1693,74,40,0.0052
61.1758,61.7500,86,49,0.5742
61.1706,61.8398,80,50,0.6693
62.4076,62.5599,80,48,0.1523
61.8060,62.9297,79,54,1.1237
61.8086,63.1094,76,56,1.3008
65.5469,65.5599,74,59,0.0130
65.3919,65.6094,75,67,0.2174
65.6172,65.7591,75,61,0.1419
65.9544,65.9688,76,58,0.0143
66.0078,66.0195,72,50,0.0117
66.2839,66.2891,89,63,0.0052
66.3776,66.4896,79,64,0.1120
66.7656,66.9388,79,62,0.1732
66.9453,67.1693,79,57,0.2240
67.1836,67.3099,79,59,0.1263
67.3151,67.3997,79,58,0.0846
67.7513,67.7591,77,46,0.0078
67.4049,67.8893,79,59,0.4844
67.9023,68.0599,79,47,0.1576
68.0716,68.1693,79,48,0.0977
68.1784,68.2591,79,56,0.0807
68.2656,68.4089,79,58,0.1432
68.4232,68.5195,79,63,0.0964
67.7982,68.9688,81,60,1.1706
68.9792,68.9896,89,51,0.0104
68.8138,69.0000,76,54,0.1862
69.0820,69.2096,76,63,0.1276
65.7734,69.2188,75,57,3.4453
68.5326,69.2188,79,54,0.6862
69.2266,69.3893,75,65,0.1628
69.3945,69.4089,82,72,0.0143
69.2331,69.4492,79,65,0.2161
69.3945,69.5690,75,75,0.1745
69.4544,69.5990,79,62,0.1445
69.3047,69.6497,86,72,0.3451
69.5742,69.7591,75,78,0.1849
69.6081,69.9388,79,83,0.3307
69.7708,70.0195,75,76,0.2487
70.0260,70.1094,75,66,0.0833
69.7643,70.1589,78,77,0.3945
70.1224,70.1888,75,66,0.0664
70.1810,70.1888,85,69,0.0078
70.1693,70.3490,78,84,0.1797
69.2148,70.3594,76,59,1.1445
70.3737,70.5195,76,70,0.1458
70.2956,70.5391,72,69,0.2435
70.2878,70.5495,88,75,0.2617
65.9010,70.5990,74,55,4.6979
69.9518,70.6094,79,67,0.6576
70.3633,70.6888,78,78,0.3255
70.5065,70.6992,84,74,0.1927
69.6602,70.6992,86,64,1.0391
70.6055,70.7500,74,74,0.1445
69.7656,70.7591,82,80,0.9935
70.5573,70.7591,88,87,0.2018
69.9102,70.7995,89,69,0.8893
70.7630,70.8294,74,69,0.0664
70.8281,70.8398,80,78,0.0117
70.7057,70.8398,86,82,0.1341
68.9792,70.8490,81,48,1.8698
70.1966,70.9388,75,74,0.7422
70.8385,71.0690,74,76,0.2305
71.0846,71.0990,70,78,0.0143
70.5326,71.1589,76,65,0.6263
70.8854,71.1589,88,93,0.2734
71.0755,71.2396,74,69,0.1641
70.9505,71.2500,75,78,0.2995
71.2448,71.3099,74,88,0.0651
70.8646,71.3099,81,91,0.4453
71.2565,71.3190,75,82,0.0625
71.1641,71.3789,76,76,0.2148
70.7031,71.4388,78,91,0.7357
70.5547,71.5299,72,74,0.9753
71.4544,71.5299,77,78,0.0755
70.7044,71.5391,84,78,0.8346
71.5417,71.6393,77,78,0.0977
71.5469,71.6393,84,79,0.0924
71.3932,71.6693,83,82,0.2760
71.3151,71.6888,74,84,0.3737
71.4141,71.7188,71,78,0.3047
70.8698,71.7695,89,80,0.8997
71.6445,71.7799,77,78,0.1354
71.7943,71.8594,77,85,0.0651
71.7005,71.8698,74,61,0.1693
71.3867,71.8698,76,84,0.4831
71.8763,71.8893,65,69,0.0130
71.5430,71.9297,72,83,0.3867
71.6445,71.9297,84,69,0.2852
71.7305,71.9596,71,74,0.2292
