start,end,pitch,velocity,duration
0.7314,1.5557,55,64,0.8243
1.6022,1.8808,43,64,0.2786
1.9737,2.9025,55,64,0.9288
2.9954,3.1579,39,64,0.1625
3.2392,4.4350,48,64,1.1958
4.5047,4.7137,43,64,0.2090
5.0155,5.6308,55,64,0.6153
5.6541,6.1533,60,64,0.4992
6.1881,6.7570,55,64,0.5689
6.7802,7.9993,60,64,1.2190
8.0922,9.2880,43,64,1.1958
9.3344,10.2516,55,64,0.9172
10.3445,10.5070,43,64,0.1625
10.5999,11.7841,48,64,1.1842
11.8422,12.0744,43,64,0.2322
12.3878,12.9800,55,64,0.5921
13.0032,13.5256,60,64,0.5224
13.5953,13.7694,63,64,0.1741
13.8159,14.1758,51,64,0.3599
14.2222,15.3600,60,64,1.1378
15.3600,15.4529,58,64,0.0929
15.4877,16.0798,55,64,0.5921
16.1611,16.2191,46,64,0.0580
16.2540,16.3120,46,64,0.0580
16.4513,16.5326,45,64,0.0813
16.7996,17.3221,48,64,0.5224
17.4034,17.4962,65,64,0.0929
17.6472,17.7981,78,64,0.1509
17.7981,17.9955,79,64,0.1974
18.0883,18.1464,75,64,0.0580
18.2277,19.1449,67,64,0.9172
19.1565,19.2145,67,64,0.0580
19.3538,19.4235,51,64,0.0697
19.4467,19.7718,48,64,0.3251
19.7834,19.9111,51,64,0.1277
19.9808,20.2246,55,64,0.2438
20.2246,20.3291,54,64,0.1045
20.3291,20.4452,55,64,0.1161
20.5613,21.1998,65,64,0.6385
21.2230,21.3275,70,64,0.1045
21.4088,21.8268,60,64,0.4180
21.9429,23.1735,60,64,1.2307
23.2664,23.4986,43,64,0.2322
23.5334,24.0559,48,64,0.5224
24.0791,24.3345,48,64,0.2554
24.3461,24.8802,51,64,0.5341
24.9382,25.4839,60,64,0.5457
25.6464,26.0296,51,64,0.3831
26.1224,26.3663,67,64,0.2438
26.7146,27.2022,48,64,0.4876
27.2370,27.4112,41,64,0.1741
27.5273,27.7711,65,64,0.2438
27.8175,28.3632,63,64,0.5457
28.4212,28.9553,65,64,0.5341
28.9901,29.5358,63,64,0.5457
29.5938,30.0002,60,64,0.4063
30.2092,30.7897,43,64,0.5805
30.8941,31.1496,43,64,0.2554
31.4166,31.9971,58,64,0.5805
32.0203,32.6008,60,64,0.5805
32.6473,32.7285,63,64,0.0813
32.7401,32.9491,63,64,0.2090
33.0768,33.6109,39,64,0.5341
33.8895,34.3888,63,64,0.4992
34.4468,35.0041,60,64,0.5573
35.0273,35.1202,55,64,0.0929
35.1550,35.2595,60,64,0.1045
35.2943,35.4104,60,64,0.1161
35.5614,36.1999,60,64,0.6385
36.2580,37.3957,48,64,1.1378
37.4654,37.9646,60,64,0.4992
38.0459,38.5916,60,64,0.5457
38.6032,38.7077,55,64,0.1045
38.7077,38.7657,54,64,0.0580
38.7889,38.8470,54,64,0.0580
38.8470,38.9050,55,64,0.0580
38.9166,39.2069,55,64,0.2902
39.2301,41.0761,60,64,1.8460
41.0993,41.2967,67,64,0.1974
41.3083,41.4128,67,64,0.1045
41.4708,41.9352,67,64,0.4644
41.9468,42.0165,67,64,0.0697
42.1210,42.2139,67,64,0.0929
42.2951,42.4229,67,64,0.1277
42.4461,42.7131,67,64,0.2670
42.8060,43.3749,63,64,0.5689
43.4213,43.5026,65,64,0.0813
43.5374,43.6303,65,64,0.0929
43.6535,43.7696,65,64,0.1161
43.9438,44.0018,67,64,0.0580
44.0947,44.1992,67,64,0.1045
44.3617,44.4314,67,64,0.0697
44.5243,44.5939,65,64,0.0697
44.5939,44.7332,66,64,0.1393
44.9306,45.0467,67,64,0.1161
45.0815,45.3254,67,64,0.2438
45.3370,45.4182,67,64,0.0813
45.4995,45.6272,67,64,0.1277
45.7085,46.3935,48,64,0.6850
46.4980,46.7418,67,64,0.2438
46.9275,47.0436,43,64,0.1161
47.1017,47.2874,55,64,0.1858
47.3571,47.6241,55,64,0.2670
47.6706,47.9144,67,64,0.2438
47.9260,47.9840,67,64,0.0580
47.9956,48.1350,67,64,0.1393
48.2162,48.3788,65,64,0.1625
48.4484,48.5065,66,64,0.0580
48.5994,48.6574,67,64,0.0580
48.7387,48.9941,67,64,0.2554
49.0289,49.1334,67,64,0.1045
49.1799,49.4237,67,64,0.2438
49.4701,49.5746,67,64,0.1045
49.5978,49.9229,67,64,0.3251
50.0158,50.0854,63,64,0.0697
50.0971,50.6195,60,64,0.5224
50.6659,51.1303,63,64,0.4644
51.2000,51.3161,67,64,0.1161
51.4090,51.5251,65,64,0.1161
51.5367,51.6063,65,64,0.0697
51.6296,51.6876,65,64,0.0580
51.7805,51.8385,64,64,0.0580
51.9430,52.0127,65,64,0.0697
52.0243,52.2913,65,64,0.2670
52.3029,52.4307,65,64,0.1277
52.4539,52.5700,65,64,0.1161
52.5816,52.7209,65,64,0.1393
52.7557,52.8370,65,64,0.0813
52.8718,53.0228,64,64,0.1509
53.0228,53.1737,65,64,0.1509
53.2085,53.3943,65,64,0.1858
53.4059,53.4639,65,64,0.0580
53.4872,53.7426,65,64,0.2554
53.7658,53.8239,65,64,0.0580
53.8355,53.9748,65,64,0.1393
54.0793,54.1954,53,64,0.1161
54.2302,54.3463,53,64,0.1161
54.3927,54.4972,53,64,0.1045
54.5088,54.6482,53,64,0.1393
54.8339,54.9384,53,64,0.1045
55.0197,55.1590,53,64,0.1393
55.2635,55.3680,67,64,0.1045
55.3796,55.6582,67,64,0.2786
55.6815,55.7976,67,64,0.1161
55.8440,56.0994,67,64,0.2554
56.1226,56.2271,67,64,0.1045
